first_word,second_word,bigram,count
"الالعاب","اللي","الالعاب اللي",7
"ابغي","حاجه","ابغي حاجه",7
"يكون","حلو","يكون حلو",7
"لان","عيد","لان عيد",7
"من","نفس","من نفس",7
"بعد،","بس","بعد، بس",7
"الرد","قبل","الرد قبل",7
"؟","ابغي","؟ ابغي",7
"لي","من","لي من",7
"وابغي","اتاكد","وابغي اتاكد",7
"فكره","عن","فكره عن",7
"اخلص","شغلي","اخلص شغلي",7
"يا","ليت","يا ليت",7
"قبل","مغرب","قبل مغرب",7
"لو","طلبت","لو طلبت",7
"شي","غالي،","شي غالي،",7
"منكم","وابي","منكم وابي",7
"عن","المنتجات","عن المنتجات",7
"من","اللي","من اللي",7
"شيء","ثاني","شيء ثاني",7
"شنو","بس","شنو بس",7
"يعني","اذا","يعني اذا",7
"؟","يعني","؟ يعني",7
"خصم","علي","خصم علي",7
"كان","يبي","كان يبي",7
"كان","يبغي","كان يبغي",7
"الاسبوع","الجاي؟","الاسبوع الجاي؟",7
"الطلب","اليوم","الطلب اليوم",7
"عندنا","عروض","عندنا عروض",7
"اكثر","عن","اكثر عن",7
"رخيص","بس","رخيص بس",7
"توفرون","لي","توفرون لي",7
"ولا","لازم","ولا لازم",7
"اعرف","قبل","اعرف قبل",7
"عن","حاله","عن حاله",7
"يكون","عندي","يكون عندي",7
"شنو","لو","شنو لو",7
"ما","لقيتها","ما لقيتها",7
"اللي","ادور","اللي ادور",7
"ادور","عليه","ادور عليه",7
"في","المحل؟","في المحل؟",7
"عن","الفلاش","عن الفلاش",7
"اللي","ابيه","اللي ابيه",7
"عندكم","شوزات","عندكم شوزات",7
"عندي","طلبيه","عندي طلبيه",7
"الحجز","كان","الحجز كان",7
"يعني","لازم","يعني لازم",6
"اسعار","الدراجات","اسعار الدراجات",6
"اخوي","عنده","اخوي عنده",6
"السعر","لو","السعر لو",6
"عروض","حصريه","عروض حصريه",6
"الرد","بسرعه","الرد بسرعه",6
"اتمني","تحلون","اتمني تحلون",6
"اي","شيء","اي شيء",6
"تخبرني","اذا","تخبرني اذا",6
"ان","اخوي","ان اخوي",6
"محتاج","الدراجه","محتاج الدراجه",6
"شنو","ممكن","شنو ممكن",6
"عندي","اخوي","عندي اخوي",6
"اقدر","اكمل","اقدر اكمل",6
"منكم،","ممكن","منكم، ممكن",6
"صار","في","صار في",6
"من","قبل،","من قبل،",6
"شيء","مناسب","شيء مناسب",6
"يصير","هالشي","يصير هالشي",6
"ضروري","يكون","ضروري يكون",6
"اجتماع","مهم","اجتماع مهم",6
"في","الخدمه","في الخدمه",6
"مره","اجرب","مره اجرب",6
"شكرا","لتعاونكم،","شكرا لتعاونكم،",6
"ميلاده","قريب","ميلاده قريب",6
"ابغي","استفسر","ابغي استفسر",6
"بس","ممكن","بس ممكن",6
"نهايه","الاسبوع؟","نهايه الاسبوع؟",6
"جماعه","الخير،","جماعه الخير،",6
"الحين","في","الحين في",6
"لي","واحد","لي واحد",6
"فيه","مشكله","فيه مشكله",6
"حصلت","رد","حصلت رد",6
"صار","شي","صار شي",6
"زين،","اذا","زين، اذا",6
"تقدرون","تسوون","تقدرون تسوون",6
"لي","سعر","لي سعر",6
"سعره","زين","سعره زين",6
"ادخل","حسابي","ادخل حسابي",6
"عن","الباقه","عن الباقه",6
"اي","خصومات","اي خصومات",6
"لاني","بصراحه","لاني بصراحه",6
"المغرب،","عشان","المغرب، عشان",6
"ادري","شنو","ادري شنو",6
"وسمعت","انكم","وسمعت انكم",6
"انكم","عندكم","انكم عندكم",6
"عروض","زينه","عروض زينه",6
"بس","ودي","بس ودي",6
"بس","بصراحه","بس بصراحه",6
"يبي","يشترك","يبي يشترك",6
"المغرب،","هل","المغرب، هل",6
"في","فندق","في فندق",6
"متوفر","اليوم","متوفر اليوم",6
"احتاج","رد","احتاج رد",6
"،","بس","، بس",6
"احد","يرد","احد يرد",6
"اليوم","لو","اليوم لو",6
"انا","عاده","انا عاده",6
"اواجه","مشاكل","اواجه مشاكل",6
"لاني","عميل","لاني عميل",6
"وما","اعرف","وما اعرف",6
"انا","حجزت","انا حجزت",6
"ودي","اشتري","ودي اشتري",6
"بكون","شاكر","بكون شاكر",6
"اي","تاخير","اي تاخير",6
"الانترنت","اللي","الانترنت اللي",6
"مع","الدعم","مع الدعم",6
"لاني","مسافر","لاني مسافر",6
"علي","بسرعه","علي بسرعه",6
"اني","زبون","اني زبون",6
"احد","يساعدني","احد يساعدني",6
"الموقع،","بس","الموقع، بس",6
"اعرف","متي","اعرف متي",6
"عندي","خبره","عندي خبره",6
"من","حولي","من حولي",6
"اروح","الفرع","اروح الفرع",6
"خدمه","مميزه","خدمه مميزه",6
"استخدمه","في","استخدمه في",6
"من","جده","من جده",6
"دايم","واتوقع","دايم واتوقع",6
"ال","اللي","ال اللي",6
"ضروري","حق","ضروري حق",6
"شي","بسعر","شي بسعر",6
"اذا","العرض","اذا العرض",6
"ودي","بشي","ودي بشي",6
"ابغي","اسال","ابغي اسال",6
"عندكم،","ممكن","عندكم، ممكن",6
"تخبرني","شنو","تخبرني شنو",6
"بس","ولا","بس ولا",6
"يكون","شي","يكون شي",6
"لو","عندكم","لو عندكم",6
"العرض","ينتهي","العرض ينتهي",6
"ينتهي","اليوم","ينتهي اليوم",6
"الالوان","المتوفره","الالوان المتوفره",6
"سعر","خاص","سعر خاص",6
"الهديه","اللي","الهديه اللي",6
"زبون","داءم","زبون داءم",6
"المشكله","باسرع","المشكله باسرع",6
"سريع","قبل","سريع قبل",6
"مو","معقوله","مو معقوله",6
"في","المحرق،","في المحرق،",6
"ما","انحل","ما انحل",6
"جديد","من","جديد من",6
"فاهم","ليش","فاهم ليش",6
"علي","مساعدتكم","علي مساعدتكم",6
"نفس","اللي","نفس اللي",6
"الشنطه","اللي","الشنطه اللي",6
"توصلني","قبل","توصلني قبل",6
"الموقع","بس","الموقع بس",6
"ما","فهمت","ما فهمت",6
"اني","دايم","اني دايم",6
"ما","فيه","ما فيه",6
"يا","جماعه؟","يا جماعه؟",6
"المحرق","وما","المحرق وما",6
"وقت","اروح","وقت اروح",6
"متي","ممكن","متي ممكن",6
"اللي","اشتريته","اللي اشتريته",6
"لان","ما","لان ما",6
"وابغي","شي","وابغي شي",6
"زبون","مهم","زبون مهم",6
"من","موقعكم،","من موقعكم،",6
"هالمستوي","من","هالمستوي من",6
"اني","من","اني من",6
"بس","مب","بس مب",6
"طلبته","من","طلبته من",6
"عندي","حساب","عندي حساب",6
"وكنت","متوقع","وكنت متوقع",6
"يعني","انا","يعني انا",6
"اخر","مره","اخر مره",6
"يقول","لي","يقول لي",6
"والله،","شلونكم؟","والله، شلونكم؟",6
"شنط","من","شنط من",6
"اعرف","كيف","اعرف كيف",6
"وما","لقيت","وما لقيت",6
"ممكن","ترد","ممكن ترد",6
"اخوي","يبيها","اخوي يبيها",6
"دايم","وابي","دايم وابي",6
"في","المحل","في المحل",6
"عن","الالعاب","عن الالعاب",6
"لهديه","عيد","لهديه عيد",6
"المغرب","لازم","المغرب لازم",6
"او","عروض","او عروض",6
"عن","عرض","عن عرض",6
"تخبروني","شنو","تخبروني شنو",6
"واحتاج","الخدمه","واحتاج الخدمه",6
"اني","اول","اني اول",6
"دايم","اشتري","دايم اشتري",6
"علي","خدمه","علي خدمه",6
"في","الريان؟","في الريان؟",6
"ممكن","تشوفون","ممكن تشوفون",6
"تقدرون","توفرون","تقدرون توفرون",6
"اتمني","تردون","اتمني تردون",6
"معاكم","من","معاكم من",6
"توصيل","سريع","توصيل سريع",6
"في","ابوظبي؟","في ابوظبي؟",6
"سعره","مناسب","سعره مناسب",6
"ميلاد","بنت","ميلاد بنت",6
"خصم","اضافي","خصم اضافي",6
"احتاجها","ضروري","احتاجها ضروري",6
"يكون","رخيص،","يكون رخيص،",6
"؟","لان","؟ لان",6
"لو","كان","لو كان",6
"في","شيء","في شيء",6
"العرض","يشمل","العرض يشمل",6
"ميلاد","ولد","ميلاد ولد",6
"لازم","تكون","لازم تكون",6
"الرد","الحين","الرد الحين",6
"اخوي","يحب","اخوي يحب",6
"ولا","في","ولا في",6
"بصراحه،","ابغي","بصراحه، ابغي",6
"اليوم","او","اليوم او",6
"لين","الاسبوع","لين الاسبوع",6
"اثنين،","شنو","اثنين، شنو",6
"خاصه","للـ","خاصه للـ",6
"له","شي","له شي",6
"تقدرون","تساعدوني؟","تقدرون تساعدوني؟",6
"للزباءن","المميزين","للزباءن المميزين",6
"نهايه","الاسبوع،","نهايه الاسبوع،",6
"قبل","صلاه","قبل صلاه",6
"هل","هي","هل هي",6
"الفلاش","سيل","الفلاش سيل",6
"في","شنط","في شنط",6
"عن","شنط","عن شنط",6
"يكون","متوفر","يكون متوفر",6
"اقدر","استفيد","اقدر استفيد",6
"جديده","في","جديده في",6
"سمعت","انها","سمعت انها",6
"متوفره","الحين؟","متوفره الحين؟",6
"ما","كانت","ما كانت",6
"والله،","عندكم","والله، عندكم",6
"اكنسل","طلبي","اكنسل طلبي",6
"ابغي","اكنسل","ابغي اكنسل",6
"طلبي","اللي","طلبي اللي",6
"اقدر","اكنسل","اقدر اكنسل",6
"بس","اهم","بس اهم",6
"طلبت","دراجه","طلبت دراجه",6
"احصل","سعر","احصل سعر",5
"واتمني","يكون","واتمني يكون",5
"يكون","اليوم","يكون اليوم",5
"عملاءكم","المميزين","عملاءكم المميزين",5
"الدراجات","عندكم","الدراجات عندكم",5
"بصراحه،","اخوي","بصراحه، اخوي",5
"خاص","لي","خاص لي",5
"لي","كعميل","لي كعميل",5
"بسرعه","عشان","بسرعه عشان",5
"ينتهي","العرض","ينتهي العرض",5
"اللي","عندي","اللي عندي",5
"الانترنت","حق","الانترنت حق",5
"عرض","خاص،","عرض خاص،",5
"خصم","اليوم","خصم اليوم",5
"يكون","ممتاز","يكون ممتاز",5
"شلونك؟","عندي","شلونك؟ عندي",5
"ممتازه،","بس","ممتازه، بس",5
"الدراجه","حق","الدراجه حق",5
"لان","بصراحه","لان بصراحه",5
"ممكن","تسوون","ممكن تسوون",5
"شنو","العروض","شنو العروض",5
"رخيص","ومناسب،","رخيص ومناسب،",5
"اذا","كل","اذا كل",5
"ما","اسافر","ما اسافر",5
"في","الفندق،","في الفندق،",5
"لو","ما","لو ما",5
"ووحده","لاخوي","ووحده لاخوي",5
"بس","كنت","بس كنت",5
"عرض","علي","عرض علي",5
"لان","الوضع","لان الوضع",5
"سعر","احسن؟","سعر احسن؟",5
"واحد","لي","واحد لي",5
"لي","وواحد","لي وواحد",5
"ان","الخدمه","ان الخدمه",5
"الجاي،","بس","الجاي، بس",5
"عشان","ما","عشان ما",5
"والله،","انا","والله، انا",5
"السلام","عليكم","السلام عليكم",5
"اقدر","استرجع","اقدر استرجع",5
"خاصه","انه","خاصه انه",5
"لاول","مره،","لاول مره،",5
"اليوم،","في","اليوم، في",5
"الموضوع","اليوم،","الموضوع اليوم،",5
"جاهز","قبل","جاهز قبل",5
"عندكم","وسمعت","عندكم وسمعت",5
"وسمعت","انه","وسمعت انه",5
"شنو","باقات؟","شنو باقات؟",5
"اليوم،","هل","اليوم، هل",5
"عروض","خاصه؟","عروض خاصه؟",5
"الدراجه","قبل","الدراجه قبل",5
"شنو","اسوي","شنو اسوي",5
"لعملاء","عميل","لعملاء عميل",5
"لان","اليوم","لان اليوم",5
"الاسبوع","الياي،","الاسبوع الياي،",5
"وما","ودي","وما ودي",5
"شنو","عندكم؟","شنو عندكم؟",5
"بس","محتاج","بس محتاج",5
"اقرر","بسرعه","اقرر بسرعه",5
"my","brother","my brother",5
"brother","wants","brother wants",5
"حل","اليوم،","حل اليوم،",5
"شي","متوفر","شي متوفر",5
"اول","مره،","اول مره،",5
"ادخل","علي","ادخل علي",5
"و","ابي","و ابي",5
"حل","اليوم","حل اليوم",5
"زين","بس","زين بس",5
"مو","عارف","مو عارف",5
"واحد","حق","واحد حق",5
"تعطوني","عرض","تعطوني عرض",5
"عندكم،","واحتاج","عندكم، واحتاج",5
"شي","من","شي من",5
"صار","له","صار له",5
"الموضوع","ينحل","الموضوع ينحل",5
"لان","عندنا","لان عندنا",5
"ممكن،","ابغي","ممكن، ابغي",5
"ابي","اخلص","ابي اخلص",5
"بس","الانترنت","بس الانترنت",5
"لو","سمحت؟","لو سمحت؟",5
"ضروري","اليوم","ضروري اليوم",5
"شنو","ابي","شنو ابي",5
"واحد","من","واحد من",5
"صراحه،","انا","صراحه، انا",5
"انا","مستعجل","انا مستعجل",5
"انكم","دايما","انكم دايما",5
"اليوم","عشان","اليوم عشان",5
"الحين","ما","الحين ما",5
"طريقه","ثانيه","طريقه ثانيه",5
"طلبت","شنطه","طلبت شنطه",5
"من","الموقع،","من الموقع،",5
"جهاز","من","جهاز من",5
"في","الفرع","في الفرع",5
"من","يومين","من يومين",5
"توقعت","خدمه","توقعت خدمه",5
"اللي","فات،","اللي فات،",5
"الكمبيوتر","اللي","الكمبيوتر اللي",5
"شريته","من","شريته من",5
"شكرا","لكم","شكرا لكم",5
"لكم","لو","لكم لو",5
"وانا","متاكد","وانا متاكد",5
"ليش","التاخير؟","ليش التاخير؟",5
"من","فتره","من فتره",5
"الحين","صار","الحين صار",5
"من","جذي","من جذي",5
"ارجو","الرد","ارجو الرد",5
"كلمه","المرور","كلمه المرور",5
"متاكد","انها","متاكد انها",5
"الموضوع","بسرعه","الموضوع بسرعه",5
"سريع","لو","سريع لو",5
"ولا","اقدر","ولا اقدر",5
"تنصحوني","فيه","تنصحوني فيه",5
"زين","وسعره","زين وسعره",5
"العرض","موجود","العرض موجود",5
"تمام،","بس","تمام، بس",5
"تكون","مناسبه","تكون مناسبه",5
"عندكم","وابغي","عندكم وابغي",5
"نفس","الشي،","نفس الشي،",5
"عندكم","الحين","عندكم الحين",5
"ومو","غالي،","ومو غالي،",5
"فيه","شيء","فيه شيء",5
"الجديده","اللي","الجديده اللي",5
"سمعت","عندكم","سمعت عندكم",5
"نعم","عندنا","نعم عندنا",5
"اضمن","انه","اضمن انه",5
"اخوي","يبا","اخوي يبا",5
"شنو","تنصحوني؟","شنو تنصحوني؟",5
"عندنا","عرض","عندنا عرض",5
"الحال؟","بغيت","الحال؟ بغيت",5
"مع","الشراء؟","مع الشراء؟",5
"من","مسقط،","من مسقط،",5
"وما","يشتغل","وما يشتغل",5
"ما","يجي","ما يجي",5
"في","الرياض،","في الرياض،",5
"من","حسابي","من حسابي",5
"قلتوا","لي","قلتوا لي",5
"انه","ما","انه ما",5
"ما","يناسبني","ما يناسبني",5
"ما","شفت","ما شفت",5
"عندي","سفر","عندي سفر",5
"هذي","مو","هذي مو",5
"في","هالامور","في هالامور",5
"في","الحساب","في الحساب",5
"يعني","ما","يعني ما",5
"اني","ما","اني ما",5
"الله","يعافيك،","الله يعافيك،",5
"عن","جوده","عن جوده",5
"بصراحه،","كنت","بصراحه، كنت",5
"مهم","وما","مهم وما",5
"مشاكل","في","مشاكل في",5
"اضيع","وقتي","اضيع وقتي",5
"في","مسقط","في مسقط",5
"الجهاز","اللي","الجهاز اللي",5
"خاصه","في","خاصه في",5
"كيف","ممكن","كيف ممكن",5
"من","المنامه","من المنامه",5
"بغيت","اتاكد","بغيت اتاكد",5
"ممكن","اطلب","ممكن اطلب",5
"الطلبيه","اللي","الطلبيه اللي",5
"بالنسبه","لي","بالنسبه لي",5
"منكم،","ومو","منكم، ومو",5
"كنت","ابي","كنت ابي",5
"القي","شي","القي شي",5
"احتاج","الخدمه","احتاج الخدمه",5
"وما","صار","وما صار",5
"وماكو","فايده","وماكو فايده",5
"من","هنا،","من هنا،",5
"اليديد","اللي","اليديد اللي",5
"اقدر","ارجع","اقدر ارجع",5
"المغرب","ابي","المغرب ابي",5
"ارخص","شوي","ارخص شوي",5
"اتمني","تقدرون","اتمني تقدرون",5
"اللي","كنت","اللي كنت",5
"اللي","عطيتوني","اللي عطيتوني",5
"انا","احتاج","انا احتاج",5
"اللي","طاف","اللي طاف",5
"حلو،","بس","حلو، بس",5
"كهديه","عيد","كهديه عيد",5
"بعد،","ممكن","بعد، ممكن",5
"هديه","لاخوي","هديه لاخوي",5
"ودي","اخلص","ودي اخلص",5
"مناسب","لعيد","مناسب لعيد",5
"بسيط","عن","بسيط عن",5
"شي","تمام","شي تمام",5
"علي","كل","علي كل",5
"في","الدوحه،","في الدوحه،",5
"تتاكدون","لي","تتاكدون لي",5
"من","عملاء","من عملاء",5
"ممكن","تتاكدون","ممكن تتاكدون",5
"في","كل","في كل",5
"اللي","شفته","اللي شفته",5
"من","مكان","من مكان",5
"يعطيك","العافيه،","يعطيك العافيه،",5
"او","شي","او شي",5
"خدمه","خاصه","خدمه خاصه",5
"وسمعت","عنكم","وسمعت عنكم",5
"وودي","اعرف","وودي اعرف",5
"علي","باسرع","علي باسرع",5
"بعد","يومين","بعد يومين",5
"اقدر","اخلص","اقدر اخلص",5
"قلت","لي","قلت لي",5
"بنت","اخوي","بنت اخوي",5
"اشتريت","قبل","اشتريت قبل",5
"من","العرض","من العرض",5
"تقدرون","تعطوني","تقدرون تعطوني",5
"في","تخفيض","في تخفيض",5
"ارجع","لكم","ارجع لكم",5
"بصراحه،","احتاج","بصراحه، احتاج",5
"شي","اليوم","شي اليوم",5
"خاصه","لي","خاصه لي",5
"تخبروني","اذا","تخبروني اذا",5
"وان","شاء","وان شاء",5
"ولا","بس","ولا بس",5
"انه","مو","انه مو",5
"متي","اقدر","متي اقدر",5
"من","العروض","من العروض",5
"خصم","حق","خصم حق",5
"تقدر","تساعدني؟","تقدر تساعدني؟",5
"لاني","دايم","لاني دايم",5
"شيء","مميز","شيء مميز",5
"هديه","لاخوي،","هديه لاخوي،",5
"لاني","محتاجه","لاني محتاجه",5
"مناسبه","قبل","مناسبه قبل",5
"انا","ابي","انا ابي",5
"لازم","انتظر","لازم انتظر",5
"احتاج","اقرر","احتاج اقرر",5
"اليوم،","ممكن؟","اليوم، ممكن؟",5
"يناسب","هديه","يناسب هديه",5
"يخلص","العرض","يخلص العرض",5
"عندكم","اليوم","عندكم اليوم",5
"شاكر","جدا","شاكر جدا",5
"في","الدوحه؟","في الدوحه؟",5
"خاص","للزباءن","خاص للزباءن",5
"مو","متاكده","مو متاكده",5
"لو","اطلب","لو اطلب",5
"بعد،","شنو","بعد، شنو",5
"العطور","اللي","العطور اللي",5
"يبي","هديه","يبي هديه",5
"شنو","بيكون؟","شنو بيكون؟",5
"صلاه","المغرب","صلاه المغرب",5
"بس","ضروري","بس ضروري",5
"احتاج","العطر","احتاج العطر",5
"مو","مناسب","مو مناسب",5
"لقيت","المنتج","لقيت المنتج",5
"مو","موجوده","مو موجوده",5
"جديده","وصلت","جديده وصلت",5
"حصلت","المنتج","حصلت المنتج",5
"عندكم","خصم","عندكم خصم",5
"فيه","خصومات","فيه خصومات",5
"اذا","متوفر","اذا متوفر",5
"القي","اللي","القي اللي",5
"هل","تقدرون","هل تقدرون",5
"غيرت","رايي","غيرت رايي",5
"طلبته","امس","طلبته امس",5
"كان","حق","كان حق",5
"عطور","جديده؟","عطور جديده؟",5
"ممكن","تلغي","ممكن تلغي",5
"مو","اللي","مو اللي",5
"شنو","عشان","شنو عشان",5
"بس","لقيت","بس لقيت",5
"هلا،","ممكن","هلا، ممكن",5
"طريق","البنك","طريق البنك",5
"اليوم،","ضروري","اليوم، ضروري",5
"عيد","ميلادها","عيد ميلادها",5
"عن","عطر","عن عطر",5
"الانترنت","ضروري","الانترنت ضروري",5
"ممكن","تتاكد","ممكن تتاكد",5
"تتاكد","لي","تتاكد لي",5
"المحرق","وابي","المحرق وابي",4
"دايم","واتمني","دايم واتمني",4
"تري","اخوي","تري اخوي",4
"يبي","يشتري","يبي يشتري",4
"انكم","تسوون","انكم تسوون",4
"اجي","المحل","اجي المحل",4
"من","زمان","من زمان",4
"انا","افكر","انا افكر",4
"لاني","احتاجه","لاني احتاجه",4
"احتاجه","لعيد","احتاجه لعيد",4
"عروض","جديده","عروض جديده",4
"مو","مقبول","مو مقبول",4
"ممكن،","لان","ممكن، لان",4
"نفس","الخدمه،","نفس الخدمه،",4
"بيكون","الاسبوع","بيكون الاسبوع",4
"فلو","في","فلو في",4
"شيء","جديد","شيء جديد",4
"واحتاج","الانترنت","واحتاج الانترنت",4
"اللي","ممكن","اللي ممكن",4
"قبل","كم","قبل كم",4
"فقط،","لاني","فقط، لاني",4
"كل","شيء","كل شيء",4
"تمام","قبل","تمام قبل",4
"في","تاخير","في تاخير",4
"نفس","الشيء","نفس الشيء",4
"عندي","في","عندي في",4
"المشكله","اليوم،","المشكله اليوم،",4
"الدراجه","اليوم","الدراجه اليوم",4
"الله","يكون","الله يكون",4
"كنت","محتاج","كنت محتاج",4
"عشان","عندي","عشان عندي",4
"نحصل","علي","نحصل علي",4
"خاصه","او","خاصه او",4
"لو","حصلت","لو حصلت",4
"اريد","حاجه","اريد حاجه",4
"خاصه","للزباءن","خاصه للزباءن",4
"عن","باقه","عن باقه",4
"طيب،","بس","طيب، بس",4
"تخفيضات","اليوم؟","تخفيضات اليوم؟",4
"اشتري","واحتاج","اشتري واحتاج",4
"الانترنت","عندي","الانترنت عندي",4
"وما","حصلت","وما حصلت",4
"ولدي","الاسبوع","ولدي الاسبوع",4
"في","البنك","في البنك",4
"ممكن،","عشان","ممكن، عشان",4
"المغرب،","صحيح؟","المغرب، صحيح؟",4
"يبي","يجي","يبي يجي",4
"انه","الحجز","انه الحجز",4
"واحد","بعد","واحد بعد",4
"اليوم،","شلون","اليوم، شلون",4
"عيد","ميلاد؟","عيد ميلاد؟",4
"دراجتين،","شنو","دراجتين، شنو",4
"لاخوي،","عيد","لاخوي، عيد",4
"لي","خصم","لي خصم",4
"اللي","فيه","اللي فيه",4
"ان","كل","ان كل",4
"زينه،","بس","زينه، بس",4
"احسن","لو","احسن لو",4
"خاص","او","خاص او",4
"لاني","فعلا","لاني فعلا",4
"بعد","الظهر","بعد الظهر",4
"صار","فيه","صار فيه",4
"شلونك؟","انا","شلونك؟ انا",4
"شنو","لان","شنو لان",4
"علي","تعاونكم،","علي تعاونكم،",4
"ميزانيه","محدده","ميزانيه محدده",4
"في","ابوظبي،","في ابوظبي،",4
"اخوي","يريد","اخوي يريد",4
"رد","سريع","رد سريع",4
"اقدر","اخذ","اقدر اخذ",4
"اطلب","شي","اطلب شي",4
"عشان","الحق","عشان الحق",4
"يبي","وحده","يبي وحده",4
"الحال؟","ابغي","الحال؟ ابغي",4
"في","البيت","في البيت",4
"ما","اواجه","ما اواجه",4
"رخيص","وسريع،","رخيص وسريع،",4
"انا","محتاجها","انا محتاجها",4
"المغرب","حق","المغرب حق",4
"ادري","انه","ادري انه",4
"اشوف","اذا","اشوف اذا",4
"في","امكانيه","في امكانيه",4
"وعندي","استفسار","وعندي استفسار",4
"عروض","قبل","عروض قبل",4
"اليوم","ضروري","اليوم ضروري",4
"ميلاده،","وما","ميلاده، وما",4
"ما","اقرر","ما اقرر",4
"خصوصا","قبل","خصوصا قبل",4
"لعيد","ميلاد،","لعيد ميلاد،",4
"دايم","في","دايم في",4
"مسافر","بعد","مسافر بعد",4
"اذا","تقدرون","اذا تقدرون",4
"عندنا","في","عندنا في",4
"شنو","حق","شنو حق",4
"من","هالموقع","من هالموقع",4
"بعد","يومين،","بعد يومين،",4
"شنو","وحده","شنو وحده",4
"من","المنامه،","من المنامه،",4
"في","مسقط،","في مسقط،",4
"خبره","في","خبره في",4
"جهاز","الكتروني","جهاز الكتروني",4
"شو","السالفه؟","شو السالفه؟",4
"دايما","اسافر","دايما اسافر",4
"في","هالموضوع","في هالموضوع",4
"العملاء","المميزين","العملاء المميزين",4
"طريقه","الدفع","طريقه الدفع",4
"من","بنك","من بنك",4
"عندكم،","كيف","عندكم، كيف",4
"خاص","للعملاء","خاص للعملاء",4
"تسجيل","الدخول","تسجيل الدخول",4
"احاول","اسجل","احاول اسجل",4
"رساله","خطا","رساله خطا",4
"متاكد","من","متاكد من",4
"تكون","اسرع","تكون اسرع",4
"الصراحه","انا","الصراحه انا",4
"مناسبه","مهمه","مناسبه مهمه",4
"ما","وصلتني","ما وصلتني",4
"لي","اسبوع","لي اسبوع",4
"في","الغاء","في الغاء",4
"باسرع","وقت؟","باسرع وقت؟",4
"خدمه","انترنت","خدمه انترنت",4
"محتاج","الانترنت","محتاج الانترنت",4
"للاسف","ما","للاسف ما",4
"وقت","انتظر","وقت انتظر",4
"ما","تشتغل","ما تشتغل",4
"لي","يومين","لي يومين",4
"احتاج","اخلص","احتاج اخلص",4
"اقدر","ادخل","اقدر ادخل",4
"الموضوع","مستعجل","الموضوع مستعجل",4
"مرحبا،","عندي","مرحبا، عندي",4
"علي","الموقع،","علي الموقع،",4
"اللي","قلت","اللي قلت",4
"موجود","اليوم","موجود اليوم",4
"اخوي","اللي","اخوي اللي",4
"حالك؟","انا","حالك؟ انا",4
"انا","زبونكم","انا زبونكم",4
"عندكم","العاب","عندكم العاب",4
"خاص","اليوم؟","خاص اليوم؟",4
"لو","فيه","لو فيه",4
"اخوي","يبيه","اخوي يبيه",4
"اروح","السوق","اروح السوق",4
"مع","الشراء","مع الشراء",4
"الشراء","اليوم","الشراء اليوم",4
"نفس","الشيء،","نفس الشيء،",4
"بس","تري","بس تري",4
"جديده","وصلت،","جديده وصلت،",4
"وكنت","ابي","وكنت ابي",4
"واذا","ممكن","واذا ممكن",4
"سلام","عليكم،","سلام عليكم،",4
"محتار","بين","محتار بين",4
"المهم","يكون","المهم يكون",4
"انه","يكون","انه يكون",4
"بس","لو","بس لو",4
"شنو","يمكن","شنو يمكن",4
"يمكن","احتاج","يمكن احتاج",4
"اكيد،","عندنا","اكيد، عندنا",4
"لحفله","عيد","لحفله عيد",4
"والله،","كيف","والله، كيف",4
"وكل","مره","وكل مره",4
"يا","اخي،","يا اخي،",4
"اقدر","ارجعها","اقدر ارجعها",4
"اقدر","اضمن","اقدر اضمن",4
"حسابي","البنكي","حسابي البنكي",4
"كوني","عميل","كوني عميل",4
"حل","جذري","حل جذري",4
"انا","توي","انا توي",4
"حد","رد","حد رد",4
"رد","علي","رد علي",4
"بسرعه،","مو","بسرعه، مو",4
"كنت","متحمس","كنت متحمس",4
"في","دبي،","في دبي،",4
"معاكم","وما","معاكم وما",4
"وما","حد","وما حد",4
"حد","يرد","حد يرد",4
"يشرح","لي","يشرح لي",4
"لي","شلون","لي شلون",4
"وين","القي","وين القي",4
"في","حد","في حد",4
"الجهاز","ضروري","الجهاز ضروري",4
"مميز","عندكم","مميز عندكم",4
"صلاله","وما","صلاله وما",4
"طريقه","واضحه","طريقه واضحه",4
"فلوسي","ترجع","فلوسي ترجع",4
"وهل","فيه","وهل فيه",4
"بس","خايف","بس خايف",4
"سريع","حق","سريع حق",4
"دايم","مثلي؟","دايم مثلي؟",4
"الفايده","من","الفايده من",4
"لازم","تحلون","لازم تحلون",4
"تحلون","الموضوع","تحلون الموضوع",4
"الريان","وما","الريان وما",4
"خلال","يومين،","خلال يومين،",4
"عشان","الغي","عشان الغي",4
"كان","المفروض","كان المفروض",4
"الله","يرضي","الله يرضي",4
"متعود","علي","متعود علي",4
"جده","وما","جده وما",4
"ايه","نعم،","ايه نعم،",4
"في","جده،","في جده،",4
"شريت","لابتوب","شريت لابتوب",4
"تساعدوني","باسرع","تساعدوني باسرع",4
"اقدر","اتحمل","اقدر اتحمل",4
"واحد","ثاني","واحد ثاني",4
"في","رسوم","في رسوم",4
"اتاكد","اني","اتاكد اني",4
"وما","اشتغل","وما اشتغل",4
"اشتغل","زين","اشتغل زين",4
"تفاصيل","الدفع","تفاصيل الدفع",4
"عشان","ارتب","عشان ارتب",4
"صراحه","ما","صراحه ما",4
"المشكله","بسرعه،","المشكله بسرعه،",4
"زبون","مميز","زبون مميز",4
"ليش","كل","ليش كل",4
