first_word,second_word,bigram,count
"عندي","خبرة","عندي خبرة",7
"في","هالأمور","في هالأمور",7
"أشتري","جهاز","أشتري جهاز",7
"أروح","الفرع","أروح الفرع",7
"ممكن","توضحون","ممكن توضحون",7
"شو","السالفة","شو السالفة",7
"أعرف","شلون","أعرف شلون",7
"لي","رسالة","لي رسالة",7
"على","حسابي","على حسابي",7
"من","فترة","من فترة",7
"وصلني","شي","وصلني شي",7
"المشكلة","بسرعة","المشكلة بسرعة",7
"عندكم","شنو","عندكم شنو",7
"واحد","منهم","واحد منهم",7
"شنو","الفرق","شنو الفرق",7
"وأحتاج","أعرف","وأحتاج أعرف",7
"عندكم","ممكن","عندكم ممكن",7
"أقرر","اليوم","أقرر اليوم",7
"بغيت","شي","بغيت شي",7
"ينتهي","اليوم","ينتهي اليوم",7
"المتوفرة","عندكم","المتوفرة عندكم",7
"سعره","معقول","سعره معقول",7
"أسجل","دخول","أسجل دخول",7
"مو","معقولة","مو معقولة",7
"الطلب","قبل","الطلب قبل",7
"لابتوب","من","لابتوب من",7
"ما","حد","ما حد",7
"شو","الحل","شو الحل",7
"بس","للحين","بس للحين",7
"بانتظار","ردكم","بانتظار ردكم",7
"ممكن","حد","ممكن حد",7
"أنا","دايما","أنا دايما",7
"ما","فهمت","ما فهمت",7
"بس","للأسف","بس للأسف",7
"مع","خدمة","مع خدمة",7
"ا","أطلب","ا أطلب",7
"بصراحة","كنت","بصراحة كنت",7
"والله","يا","والله يا",7
"أنا","كنت","أنا كنت",7
"أو","لازم","أو لازم",7
"عندي","حساب","عندي حساب",7
"كنت","متوقع","كنت متوقع",7
"طلبت","من","طلبت من",7
"وما","كنت","وما كنت",7
"شي","ما","شي ما",7
"من","المحل","من المحل",7
"إذا","شريت","إذا شريت",7
"وما","لقيت","وما لقيت",7
"أرخص","شوي","أرخص شوي",7
"في","عندكم","في عندكم",7
"ترد","علي","ترد علي",7
"الألعاب","اللي","الألعاب اللي",7
"أبغى","حاجة","أبغى حاجة",7
"انه","في","انه في",7
"كنت","أبغى","كنت أبغى",7
"يكون","حلو","يكون حلو",7
"لأن","عيد","لأن عيد",7
"من","نفس","من نفس",7
"المغرب","لازم","المغرب لازم",7
"الرد","قبل","الرد قبل",7
"لي","من","لي من",7
"فكرة","عن","فكرة عن",7
"أنا","شريت","أنا شريت",7
"خدمة","خاصة","خدمة خاصة",7
"أخلص","شغلي","أخلص شغلي",7
"يا","ليت","يا ليت",7
"قبل","مغرب","قبل مغرب",7
"لو","طلبت","لو طلبت",7
"عندكم","وأبي","عندكم وأبي",7
"في","شيء","في شيء",7
"عن","المنتجات","عن المنتجات",7
"من","اللي","من اللي",7
"take","بس","take بس",7
"يعني","إذا","يعني إذا",7
"take","يعني","take يعني",7
"اليوم","أو","اليوم أو",7
"خصم","على","خصم على",7
"كان","يبي","كان يبي",7
"الطلب","اليوم","الطلب اليوم",7
"عندنا","عروض","عندنا عروض",7
"أكثر","عن","أكثر عن",7
"ان","شاء","ان شاء",7
"توفرون","لي","توفرون لي",7
"ولا","لازم","ولا لازم",7
"أعرف","قبل","أعرف قبل",7
"يكون","عندي","يكون عندي",7
"the","policy","the policy",7
"ما","لقيتها","ما لقيتها",7
"اللي","أدور","اللي أدور",7
"أدور","عليه","أدور عليه",7
"يكون","متوفر","يكون متوفر",7
"عن","الفلاش","عن الفلاش",7
"توفرونه","لي","توفرونه لي",7
"والله","عندكم","والله عندكم",7
"إذا","متوفر","إذا متوفر",7
"عندكم","شوزات","عندكم شوزات",7
"عندي","طلبية","عندي طلبية",7
"الحجز","كان","الحجز كان",7
"rooms","for","rooms for",7
"سعر","أفضل","سعر أفضل",6
"يعني","لازم","يعني لازم",6
"يكون","اليوم","يكون اليوم",6
"عملائكم","المميزين","عملائكم المميزين",6
"أسعار","الدراجات","أسعار الدراجات",6
"أخوي","عنده","أخوي عنده",6
"السعر","لو","السعر لو",6
"وأبغي","أعرف","وأبغي أعرف",6
"عروض","حصرية","عروض حصرية",6
"ينتهي","العرض","ينتهي العرض",6
"أتمنى","تحلون","أتمنى تحلون",6
"خصم","اليوم","خصم اليوم",6
"ممتازة","بس","ممتازة بس",6
"the","compensation","the compensation",6
"إن","أخوي","إن أخوي",6
"محتاج","الدراجة","محتاج الدراجة",6
"ممكن","تسوون","ممكن تسوون",6
"المشكلة","اليوم","المشكلة اليوم",6
"عندي","أخوي","عندي أخوي",6
"منكم","ممكن","منكم ممكن",6
"أطلب","الحين","أطلب الحين",6
"صار","في","صار في",6
"الحين","صار","الحين صار",6
"ضروري","يكون","ضروري يكون",6
"عندي","اجتماع","عندي اجتماع",6
"وحدة","لي","وحدة لي",6
"أدري","إنكم","أدري إنكم",6
"مرة","أجرب","مرة أجرب",6
"وقت","ممكن","وقت ممكن",6
"إذا","أقدر","إذا أقدر",6
"take","أخوي","take أخوي",6
"إذا","السعر","إذا السعر",6
"الحين","في","الحين في",6
"لي","واحد","لي واحد",6
"حصلت","رد","حصلت رد",6
"رخيص","وسريع","رخيص وسريع",6
"تقدرون","تسوون","تقدرون تسوون",6
"لي","سعر","لي سعر",6
"لي","خصم","لي خصم",6
"مرحبا","كيف","مرحبا كيف",6
"أخذت","غرفتين","أخذت غرفتين",6
"عن","الباقة","عن الباقة",6
"عندكم","وسمعت","عندكم وسمعت",6
"لأني","بصراحة","لأني بصراحة",6
"أدري","شنو","أدري شنو",6
"بس","محتاج","بس محتاج",6
"بس","ودي","بس ودي",6
"يبي","يشترك","يبي يشترك",6
"في","فندق","في فندق",6
"أحتاج","رد","أحتاج رد",6
"رد","سريع","رد سريع",6
"المشكلة","إنه","المشكلة إنه",6
"يبغى","يشتري","يبغى يشتري",6
"لأني","عميل","لأني عميل",6
"بس","إذا","بس إذا",6
"أنا","حجزت","أنا حجزت",6
"ودي","أشتري","ودي أشتري",6
"بكون","شاكر","بكون شاكر",6
"take","subscriptions","take subscriptions",6
"أي","تأخير","أي تأخير",6
"ما","أقرر","ما أقرر",6
"مع","الدعم","مع الدعم",6
"الدعم","الفني","الدعم الفني",6
"لأني","مسافر","لأني مسافر",6
"خاصة","حق","خاصة حق",6
"مع","الانترنت","مع الانترنت",6
"أنا","مستعجل","أنا مستعجل",6
"i","just","i just",6
"أعرف","متى","أعرف متى",6
"خدمة","مميزة","خدمة مميزة",6
"مشكورين","وايد","مشكورين وايد",6
"أستخدمه","في","أستخدمه في",6
"وأنا","في","وأنا في",6
"يعطيك","العافية","يعطيك العافية",6
"ا","لكم","ا لكم",6
"من","جدة","من جدة",6
"رسالة","خطأ","رسالة خطأ",6
"ليش","التأخير","ليش التأخير",6
"تكون","أسرع","تكون أسرع",6
"ما","يناسبني","ما يناسبني",6
"كلمة","المرور","كلمة المرور",6
"الحين","قبل","الحين قبل",6
"المغرب","ضروري","المغرب ضروري",6
"ضروري","حق","ضروري حق",6
"شي","بسعر","شي بسعر",6
"إذا","العرض","إذا العرض",6
"تخبرني","شنو","تخبرني شنو",6
"نعم","عندنا","نعم عندنا",6
"يكون","شي","يكون شي",6
"لو","عندكم","لو عندكم",6
"العرض","ينتهي","العرض ينتهي",6
"سعر","خاص","سعر خاص",6
"الهدية","اللي","الهدية اللي",6
"زبون","دائم","زبون دائم",6
"المشكلة","بأسرع","المشكلة بأسرع",6
"وما","يشتغل","وما يشتغل",6
"سريع","قبل","سريع قبل",6
"الطلب","حقي","الطلب حقي",6
"ما","انحل","ما انحل",6
"جديد","من","جديد من",6
"فاهم","ليش","فاهم ليش",6
"نفس","اللي","نفس اللي",6
"توصلني","قبل","توصلني قبل",6
"إني","دايم","إني دايم",6
"ما","فيه","ما فيه",6
"صلالة","وما","صلالة وما",6
"أبغى","حل","أبغى حل",6
"وقت","أروح","وقت أروح",6
"لأني","دايم","لأني دايم",6
"متى","ممكن","متى ممكن",6
"اللي","اشتريته","اللي اشتريته",6
"لأن","ما","لأن ما",6
"أبغي","أتأكد","أبغي أتأكد",6
"زبون","مهم","زبون مهم",6
"ياخي","أنا","ياخي أنا",6
"هالمستوى","من","هالمستوى من",6
"أول","ما","أول ما",6
"بس","مب","بس مب",6
"بغيت","أستفسر","بغيت أستفسر",6
"طلبته","من","طلبته من",6
"وكنت","متوقع","وكنت متوقع",6
"ولا","لا","ولا لا",6
"ممكن","أستفيد","ممكن أستفيد",6
"يقول","لي","يقول لي",6
"والله","شلونكم","والله شلونكم",6
"خاصة","إني","خاصة إني",6
"ا","على","ا على",6
"بما","إني","بما إني",6
"شنط","من","شنط من",6
"قبل","يومين","قبل يومين",6
"البنك","ما","البنك ما",6
"أعرف","كيف","أعرف كيف",6
"اذا","في","اذا في",6
"ممكن","ترد","ممكن ترد",6
"أخوي","يبيها","أخوي يبيها",6
"اللي","عطيتوني","اللي عطيتوني",6
"عن","الألعاب","عن الألعاب",6
"حلو","بس","حلو بس",6
"بعد","ممكن","بعد ممكن",6
"لهدية","عيد","لهدية عيد",6
"أخوي","قريب","أخوي قريب",6
"أو","عروض","أو عروض",6
"عن","عرض","عن عرض",6
"تخبروني","شنو","تخبروني شنو",6
"على","طول","على طول",6
"تتأكدون","لي","تتأكدون لي",6
"على","مساعدتك","على مساعدتك",6
"أبغى","ألغي","أبغى ألغي",6
"على","خدمة","على خدمة",6
"لي","اليوم","لي اليوم",6
"لا","تخلص","لا تخلص",6
"ممكن","تشوفون","ممكن تشوفون",6
"في","التوصيل","في التوصيل",6
"تقدرون","توفرون","تقدرون توفرون",6
"معاكم","من","معاكم من",6
"ميلاد","بنت","ميلاد بنت",6
"طلبت","الحين","طلبت الحين",6
"لو","كان","لو كان",6
"منكم","وأبي","منكم وأبي",6
"أخوي","قبل","أخوي قبل",6
"العرض","يشمل","العرض يشمل",6
"شنهو","the","شنهو the",6
"ميلاد","ولد","ميلاد ولد",6
"اليوم","لو","اليوم لو",6
"لازم","تكون","لازم تكون",6
"الرد","الحين","الرد الحين",6
"من","العروض","من العروض",6
"بصراحة","أبغى","بصراحة أبغى",6
"مو","مناسب","مو مناسب",6
"أخوي","يحب","أخوي يحب",6
"عطر","معين","عطر معين",6
"كان","يبغى","كان يبغى",6
"انتظر","ردكم","انتظر ردكم",6
"ولا","في","ولا في",6
"لين","الأسبوع","لين الأسبوع",6
"له","شي","له شي",6
"قبل","صلاة","قبل صلاة",6
"هل","هي","هل هي",6
"أستفيد","من","أستفيد من",6
"عن","حالة","عن حالة",6
"في","شنط","في شنط",6
"اطلب","منكم","اطلب منكم",6
"عن","شنط","عن شنط",6
"جديدة","في","جديدة في",6
"متوفرة","الحين","متوفرة الحين",6
"ما","كانت","ما كانت",6
"ألغي","طلبي","ألغي طلبي",6
"طلبي","اللي","طلبي اللي",6
"طريق","البنك","طريق البنك",6
"أقدر","أكنسل","أقدر أكنسل",6
"for","next","for next",6
"طلبت","دراجة","طلبت دراجة",6
"تتأكد","لي","تتأكد لي",6
"أحصل","سعر","أحصل سعر",5
"المغرب","ممكن","المغرب ممكن",5
"الدراجات","عندكم","الدراجات عندكم",5
"لي","كعميل","لي كعميل",5
"نهاية","اليوم","نهاية اليوم",5
"اليوم","عندي","اليوم عندي",5
"صار","حل","صار حل",5
"اللي","عندي","اللي عندي",5
"ممكن","لأن","ممكن لأن",5
"عرض","زين","عرض زين",5
"تخبرني","إذا","تخبرني إذا",5
"شلونك","عندي","شلونك عندي",5
"الدراجة","حق","الدراجة حق",5
"علي","اليوم","علي اليوم",5
"أقدر","أكمل","أقدر أكمل",5
"شنو","العروض","شنو العروض",5
"ما","أسافر","ما أسافر",5
"اجتماع","مهم","اجتماع مهم",5
"لو","ما","لو ما",5
"لي","ووحدة","لي ووحدة",5
"بس","كنت","بس كنت",5
"عرض","على","عرض على",5
"شكرا","لتعاونكم","شكرا لتعاونكم",5
"واحد","لي","واحد لي",5
"لي","وواحد","لي وواحد",5
"وواحد","لأخوي","وواحد لأخوي",5
"طيب","بس","طيب بس",5
"أتواصل","معاكم","أتواصل معاكم",5
"الجاي","بس","الجاي بس",5
"أخذت","اثنين","أخذت اثنين",5
"عشان","ما","عشان ما",5
"السلام","عليكم","السلام عليكم",5
"أقدر","أسترجع","أقدر أسترجع",5
"خاصة","إنه","خاصة إنه",5
"أدفع","وايد","أدفع وايد",5
"أهل","ا","أهل ا",5
"اللي","فيه","اللي فيه",5
"غرفتين","شنو","غرفتين شنو",5
"جاهز","قبل","جاهز قبل",5
"take","باقات","take باقات",5
"أي","خصومات","أي خصومات",5
"بعد","الظهر","بعد الظهر",5
"الدراجة","قبل","الدراجة قبل",5
"شنو","أسوي","شنو أسوي",5
"لعملاء","عميل","لعملاء عميل",5
"لأن","اليوم","لأن اليوم",5
"وما","ودي","وما ودي",5
"وسمعت","إنكم","وسمعت إنكم",5
"إنكم","عندكم","إنكم عندكم",5
"أخوي","شنو","أخوي شنو",5
"خدمة","الإنترنت","خدمة الإنترنت",5
"أقرر","بسرعة","أقرر بسرعة",5
"أحتاج","الانترنت","أحتاج الانترنت",5
"أبغي","حل","أبغي حل",5
"أحجز","قبل","أحجز قبل",5
"أدخل","على","أدخل على",5
"this","for","this for",5
"أنا","عادة","أنا عادة",5
"وما","أعرف","وما أعرف",5
"فيه","مشاكل","فيه مشاكل",5
"مو","عارف","مو عارف",5
"أشتري","هدية","أشتري هدية",5
"take","items","take items",5
"واحد","حق","واحد حق",5
"ما","أبغي","ما أبغي",5
"في","إمكانية","في إمكانية",5
"تعطوني","عرض","تعطوني عرض",5
"شي","من","شي من",5
"لي","الموضوع","لي الموضوع",5
"صار","له","صار له",5
"الموضوع","ينحل","الموضوع ينحل",5
"لأن","عندنا","لأن عندنا",5
"أبي","أخلص","أبي أخلص",5
"واحتاج","شي","واحتاج شي",5
"ضروري","اليوم","ضروري اليوم",5
"واحد","من","واحد من",5
"أشتري","قبل","أشتري قبل",5
"في","هالموضوع","في هالموضوع",5
"want","something","want something",5
"من","هالموقع","من هالموقع",5
"طلبت","شنطة","طلبت شنطة",5
"جهاز","من","جهاز من",5
"توقعت","خدمة","توقعت خدمة",5
"ا","جزيلا","ا جزيلا",5
"العملاء","المميزين","العملاء المميزين",5
"الكمبيوتر","اللي","الكمبيوتر اللي",5
"شريته","من","شريته من",5
"من","الدوحة","من الدوحة",5
"طريقة","الدفع","طريقة الدفع",5
"ألغى","الطلب","ألغى الطلب",5
"أسترجع","المبلغ","أسترجع المبلغ",5
"لكم","لو","لكم لو",5
"مو","موجود","مو موجود",5
"وأنا","متأكد","وأنا متأكد",5
"من","جذي","من جذي",5
"أرجو","الرد","أرجو الرد",5
"ما","تشتغل","ما تشتغل",5
"دايم","وأتوقع","دايم وأتوقع",5
"متأكد","إنها","متأكد إنها",5
"الموضوع","مستعجل","الموضوع مستعجل",5
"سريع","لو","سريع لو",5
"ميلاد","اخوي","ميلاد اخوي",5
"ولا","أقدر","ولا أقدر",5
"زين","وسعره","زين وسعره",5
"أستفيد","منه","أستفيد منه",5
"العرض","موجود","العرض موجود",5
"تمام","بس","تمام بس",5
"تكون","مناسبة","تكون مناسبة",5
"عندكم","وأبغى","عندكم وأبغى",5
"فيه","شيء","فيه شيء",5
"الجديدة","اللي","الجديدة اللي",5
"سمعت","عندكم","سمعت عندكم",5
"مره","أشتري","مره أشتري",5
"before","maghrib","before maghrib",5
"أخوي","يبا","أخوي يبا",5
"السلام","نعم","السلام نعم",5
"سعرها","مناسب","سعرها مناسب",5
"عندنا","عرض","عندنا عرض",5
"الألوان","المتوفرة","الألوان المتوفرة",5
"الحال","بغيت","الحال بغيت",5
"دايما","أشتري","دايما أشتري",5
"لي","شلون","لي شلون",5
"يا","أخي","يا أخي",5
"ما","يجي","ما يجي",5
"أقدر","أرجعها","أقدر أرجعها",5
"ما","وصل","ما وصل",5
"يصير","كذا","يصير كذا",5
"قلتوا","لي","قلتوا لي",5
"حد","رد","حد رد",5
"رد","علي","رد علي",5
"إنه","ما","إنه ما",5
"بسرعة","مو","بسرعة مو",5
"ما","شفت","ما شفت",5
"عندي","سفر","عندي سفر",5
"هذي","مو","هذي مو",5
"حد","يرد","حد يرد",5
"يشرح","لي","يشرح لي",5
"بعد","في","بعد في",5
"بصراحة","توقعت","بصراحة توقعت",5
"دايم","مثلي","دايم مثلي",5
"حل","بسرعة","حل بسرعة",5
"في","الحساب","في الحساب",5
"الريان","وما","الريان وما",5
"خلال","يومين","خلال يومين",5
"يعني","ما","يعني ما",5
"الله","يعافيك","الله يعافيك",5
"عن","جودة","عن جودة",5
"شو","أسوي","شو أسوي",5
"سمحت","أبغى","سمحت أبغى",5
"مهم","وما","مهم وما",5
"قولوا","لي","قولوا لي",5
"ممكن","ألغى","ممكن ألغى",5
"مشاكل","في","مشاكل في",5
"وش","السالفة","وش السالفة",5
"الجهاز","اللي","الجهاز اللي",5
"خاصة","في","خاصة في",5
"كيف","ممكن","كيف ممكن",5
"زبون","مميز","زبون مميز",5
"بغيت","أتأكد","بغيت أتأكد",5
"ممكن","أطلب","ممكن أطلب",5
"الطلبية","اللي","الطلبية اللي",5
"شنو","المشكلة","شنو المشكلة",5
"بالنسبة","لي","بالنسبة لي",5
"خدمة","أحسن","خدمة أحسن",5
"منكم","ومو","منكم ومو",5
"حلوة","بس","حلوة بس",5
"ألقى","شي","ألقى شي",5
"أحتاج","الخدمة","أحتاج الخدمة",5
"وما","صار","وما صار",5
"أنا","بالرياض","أنا بالرياض",5
"اليوم","متى","اليوم متى",5
"وماكو","فايدة","وماكو فايدة",5
"على","الخدمة","على الخدمة",5
"من","هنا","من هنا",5
"نقدر","نسوي","نقدر نسوي",5
"اليديد","اللي","اليديد اللي",5
"أقدر","أرجع","أقدر أرجع",5
"وأنا","أحاول","وأنا أحاول",5
"أقدر","أدفع","أقدر أدفع",5
"ا","وايد","ا وايد",5
"على","المعلومات","على المعلومات",5
"ميلاد","ولده","ميلاد ولده",5
"اللي","كنت","اللي كنت",5
"أنا","أحتاج","أنا أحتاج",5
"كهدية","عيد","كهدية عيد",5
"ودي","أخلص","ودي أخلص",5
"مناسب","لعيد","مناسب لعيد",5
"بسيط","عن","بسيط عن",5
"وأحتاج","الخدمة","وأحتاج الخدمة",5
"شي","تمام","شي تمام",5
"وأبغى","أتأكد","وأبغى أتأكد",5
"من","عملاء","من عملاء",5
"إني","أول","إني أول",5
"ممكن","تتأكدون","ممكن تتأكدون",5
"في","كل","في كل",5
"اللي","شفته","اللي شفته",5
"من","مكان","من مكان",5
"اليوم","ما","اليوم ما",5
"أتمنى","تردون","أتمنى تردون",5
"وسمعت","عنكم","وسمعت عنكم",5
"وودي","أعرف","وودي أعرف",5
"علي","بأسرع","علي بأسرع",5
"لي","التفاصيل","لي التفاصيل",5
"أقدر","أخلص","أقدر أخلص",5
"أبغي","شيء","أبغي شيء",5
"قلت","لي","قلت لي",5
"العرض","هذا","العرض هذا",5
"now","عشان","now عشان",5
"تقدرون","تعطوني","تقدرون تعطوني",5
"مناسبة","قريب","مناسبة قريب",5
"في","تخفيض","في تخفيض",5
"مغرب","اليوم","مغرب اليوم",5
"أرجع","لكم","أرجع لكم",5
"منكم","قبل","منكم قبل",5
"تخبروني","إذا","تخبروني إذا",5
"وإن","شاء","وإن شاء",5
"المغرب","تقدرون","المغرب تقدرون",5
"ولا","بس","ولا بس",5
"شوي","بس","شوي بس",5
"الرد","right","الرد right",5
"الحين","ممكن","الحين ممكن",5
"خصم","حق","خصم حق",5
"بسعر","مناسب","بسعر مناسب",5
"شي","بعد","شي بعد",5
"شيء","مميز","شيء مميز",5
"المغرب","عندي","المغرب عندي",5
"لليوم","فقط","لليوم فقط",5
"مناسبة","قبل","مناسبة قبل",5
"شي","مشابه","شي مشابه",5
"عروض","ثانية","عروض ثانية",5
"لازم","أنتظر","لازم أنتظر",5
"صراحة","أخوي","صراحة أخوي",5
"يناسب","هدية","يناسب هدية",5
"نفس","العطر","نفس العطر",5
"استفيد","من","استفيد من",5
"الطلب","right","الطلب right",5
"إذا","يناسبني","إذا يناسبني",5
"شاكر","جدا","شاكر جدا",5
"فيه","تخفيض","فيه تخفيض",5
"خاص","للزبائن","خاص للزبائن",5
"لو","أطلب","لو أطلب",5
"من","صديقي","من صديقي",5
"العرض","اليوم","العرض اليوم",5
"العطور","اللي","العطور اللي",5
"شيء","أرخص","شيء أرخص",5
"يبي","هدية","يبي هدية",5
"price","بيكون","price بيكون",5
"بس","ضروري","بس ضروري",5
"أحتاج","العطر","أحتاج العطر",5
"أحتاجها","اليوم","أحتاجها اليوم",5
"عندكم","ودايم","عندكم ودايم",5
"لقيت","المنتج","لقيت المنتج",5
"مو","موجودة","مو موجودة",5
"في","القائمة","في القائمة",5
"اللي","أبغيه","اللي أبغيه",5
"حصلت","المنتج","حصلت المنتج",5
"كيف","اقدر","كيف اقدر",5
"بغيت","استفسر","بغيت استفسر",5
"عندكم","خصم","عندكم خصم",5
"اذا","عندكم","اذا عندكم",5
"فيه","خصومات","فيه خصومات",5
"أقدر","أستفيد","أقدر أستفيد",5
"أقدر","أطلبه","أقدر أطلبه",5
"ألقى","اللي","ألقى اللي",5
"هل","تقدرون","هل تقدرون",5
"مره","اطلب","مره اطلب",5
"ممكن","تفيدني","ممكن تفيدني",5
"طلبته","أمس","طلبته أمس",5
"كان","حق","كان حق",5
"طيب","في","طيب في",5
"ممكن","تلغي","ممكن تلغي",5
"أمس","بس","أمس بس",5
"مو","اللي","مو اللي",5
"process","عشان","process عشان",5
"process","for","process for",5
"بس","لقيت","بس لقيت",5
"هلا","ممكن","هلا ممكن",5
"process","إذا","process إذا",5
"ابي","شي","ابي شي",5
"عيد","ميلادها","عيد ميلادها",5
"بس","أهم","بس أهم",5
"عن","عطر","عن عطر",5
"موجود","عندكم","موجود عندكم",5
"price","إذا","price إذا",5
"لأن","صراحة","لأن صراحة",5
"الرد","اليوم","الرد اليوم",5
"ممكن","تتأكد","ممكن تتأكد",5
"وأتمنى","يكون","وأتمنى يكون",4
"ترى","أخوي","ترى أخوي",4
"يبي","يشتري","يبي يشتري",4
"سعر","زين","سعر زين",4
"إنكم","تسوون","إنكم تسوون",4
"ممكن","تفيدوني","ممكن تفيدوني",4
"فقط","ممكن","فقط ممكن",4
"مو","غالية","مو غالية",4
"تكون","ممتازة","تكون ممتازة",4
"أجي","المحل","أجي المحل",4
"من","زمان","من زمان",4
"كعميل","مميز","كعميل مميز",4
"أبغي","أشتري","أبغي أشتري",4
"أنا","أفكر","أنا أفكر",4
"لأني","أحتاجه","لأني أحتاجه",4
"أحتاجه","لعيد","أحتاجه لعيد",4
"عروض","جديدة","عروض جديدة",4
"أحتاج","الإنترنت","أحتاج الإنترنت",4
"صار","اليوم","صار اليوم",4
"مو","مقبول","مو مقبول",4
"نفس","الخدمة","نفس الخدمة",4
"بيكون","الأسبوع","بيكون الأسبوع",4
"فلو","في","فلو في",4
"شيء","جديد","شيء جديد",4
"يكون","أرخص","يكون أرخص",4
"أحصل","خصم","أحصل خصم",4
"وأحتاج","الانترنت","وأحتاج الانترنت",4
"مو","طبيعي","مو طبيعي",4
"اللي","ممكن","اللي ممكن",4
"customer","وعندي","customer وعندي",4
"قبل","كم","قبل كم",4
"على","الإنترنت","على الإنترنت",4
"عندكم","حل","عندكم حل",4
"إذا","كل","إذا كل",4
"كل","شيء","كل شيء",4
"تمام","قبل","تمام قبل",4
"في","تأخير","في تأخير",4
"عندي","في","عندي في",4
"بسعر","معقول","بسعر معقول",4
"الدراجة","اليوم","الدراجة اليوم",4
"ووحدة","لأخوي","ووحدة لأخوي",4
"الله","يكون","الله يكون",4
"كنت","محتاج","كنت محتاج",4
"عشان","عندي","عشان عندي",4
"نحصل","على","نحصل على",4
"للعيد","ميلاد","للعيد ميلاد",4
"خاصة","أو","خاصة أو",4
"لأن","الوضع","لأن الوضع",4
"لو","حصلت","لو حصلت",4
"أريد","حاجة","أريد حاجة",4
"خاصة","للزبائن","خاصة للزبائن",4
"القرار","بسرعة","القرار بسرعة",4
"أبغى","أستفسر","أبغى أستفسر",4
"عن","باقة","عن باقة",4
"أشتري","وأحتاج","أشتري وأحتاج",4
"إن","الخدمة","إن الخدمة",4
"وما","حصلت","وما حصلت",4
"ولدي","الأسبوع","ولدي الأسبوع",4
"ممكن","عشان","ممكن عشان",4
"customer","وما","customer وما",4
"take","nights","take nights",4
"يبي","يجي","يبي يجي",4
"إنه","الحجز","إنه الحجز",4
"المهم","أبي","المهم أبي",4
"اليوم","شلون","اليوم شلون",4
"دراجتين","شنو","دراجتين شنو",4
"لأخوي","عيد","لأخوي عيد",4
"من","أمس","من أمس",4
"أرتب","أموري","أرتب أموري",4
"وسمعت","إنه","وسمعت إنه",4
"أحسن","لو","أحسن لو",4
"خاص","أو","خاص أو",4
"من","الربع","من الربع",4
"لأني","فعلا","لأني فعلا",4
"صار","فيه","صار فيه",4
"شلونك","أنا","شلونك أنا",4
"معاكم","بس","معاكم بس",4
"اليوم","عيد","اليوم عيد",4
"ميزانية","محددة","ميزانية محددة",4
"الانترنت","ضروري","الانترنت ضروري",4
"أخوي","يريد","أخوي يريد",4
"أقدر","أخذ","أقدر أخذ",4
"أطلب","شي","أطلب شي",4
"كان","يبيه","كان يبيه",4
"تساعدوني","بسرعة","تساعدوني بسرعة",4
"عشان","ألحق","عشان ألحق",4
"يبي","وحدة","يبي وحدة",4
"الحال","أبغى","الحال أبغى",4
"ا","في","ا في",4
"في","البيت","في البيت",4
"ما","أواجه","ما أواجه",4
"حق","شغله","حق شغله",4
"حل","ثاني","حل ثاني",4
"اليوم","شنو","اليوم شنو",4
"لي","فلوسي","لي فلوسي",4
"غالي","شوي","غالي شوي",4
"أنا","محتاجها","أنا محتاجها",4
"المغرب","حق","المغرب حق",4
"أدري","إنه","أدري إنه",4
"أشوف","إذا","أشوف إذا",4
"ألو","مرحبا","ألو مرحبا",4
"وعندي","استفسار","وعندي استفسار",4
"عروض","قبل","عروض قبل",4
"ميلاده","وما","ميلاده وما",4
"الإنترنت","اللي","الإنترنت اللي",4
"ا","قبل","ا قبل",4
"البنك","وما","البنك وما",4
"في","فايدة","في فايدة",4
"مسافر","بعد","مسافر بعد",4
"شنو","السالفة","شنو السالفة",4
"بس","الانترنت","بس الانترنت",4
"بصراحة","أول","بصراحة أول",4
"في","حولي","في حولي",4
"عندنا","في","عندنا في",4
"just","want","just want",4
"something","cheap","something cheap",4
"طريقة","ثانية","طريقة ثانية",4
"خبرة","في","خبرة في",4
"يشتغل","عدل","يشتغل عدل",4
"جهاز","إلكتروني","جهاز إلكتروني",4
"من","أسبوع","من أسبوع",4
"ا","أسافر","ا أسافر",4
"سمعت","أن","سمعت أن",4
"من","بنك","من بنك",4
"أشتري","شنطة","أشتري شنطة",4
"عندكم","كيف","عندكم كيف",4
"خاص","للعملاء","خاص للعملاء",4
"ولا","كيف","ولا كيف",4
"خدمة","ممتازة","خدمة ممتازة",4
"تسجيل","الدخول","تسجيل الدخول",4
"أحاول","أسجل","أحاول أسجل",4
"متأكد","من","متأكد من",4
"مناسبة","مهمة","مناسبة مهمة",4
"ما","وصلتني","ما وصلتني",4
"لي","أسبوع","لي أسبوع",4
"أنتظر","وما","أنتظر وما",4
"في","إلغاء","في إلغاء",4
"إلغاء","الطلب","إلغاء الطلب",4
"من","مرة","من مرة",4
"وقت","أنتظر","وقت أنتظر",4
"لي","يومين","لي يومين",4
"أحتاج","أخلص","أحتاج أخلص",4
"أقدر","أدخل","أقدر أدخل",4
"أبغى","أشتري","أبغى أشتري",4
"مرحبا","عندي","مرحبا عندي",4
"اللي","قلت","اللي قلت",4
"وسعره","معقول","وسعره معقول",4
"موجود","اليوم","موجود اليوم",4
"أخوي","اللي","أخوي اللي",4
"حالك","أنا","حالك أنا",4
"أنا","زبونكم","أنا زبونكم",4
"لو","فيه","لو فيه",4
"اللي","يناسبني","اللي يناسبني",4
